,Test RMSE Rose,Test RMSE Sparkling,RMSE,MAPE
RegressionOnTime,15.268955197146555,1389.135174897992,,
NaiveModel,79.71877337417347,3864.2793518443914,,
SimpleAverageModel,53.460569646114436,1275.0818036965309,,
2pointTrailingMovingAverage,11.52927761935857,813.4006839972983,,
4pointTrailingMovingAverage,14.451403238286431,1156.589694081071,,
6pointTrailingMovingAverage,14.566327265691354,1283.9274280129855,,
9pointTrailingMovingAverage,14.727629822363193,1346.2783154241804,,
Simple Exponential Smoothing,36.796227983677504,1338.0121443910189,,
Double Exponential Smoothing,15.269327872865668,3949.993290409098,,
Triple Exponential Smoothing (Additive Season),14.265712941547475,379.6956857387101,,
Triple Exponential Smoothing (Multiplicative Season),20.190997935033817,406.51016963157673,,
"Triple Exponential Smoothing (Additive Season, Damped Trend)",25.660960416919345,379.6956857387101,,
"Triple Exponential Smoothing (Multiplicative Season, Damped Trend)",26.29598142802485,352.4433346626412,,
"ARIMA(2,1,2)",,,1299.980372953183,47.10001658999489
"ARIMA(0,1,0)",,,3864.2793518443914,201.32764950352743
"SARIMA(3,1,1)(3,0,2,12)",,,601.2443960941916,25.870720702982446
"SARIMA(0,1,0)(3,1,2,12)",,,1189.8357829699708,54.87253569306072
"SARIMA(0,1,0)(2,1,2,12)",,,1757.7268671724094,81.78523424489413
"SARIMA(0,1,0)(3,1,2,12)",,,1551.6462725948265,71.56619627019045
