YearMonth,Sparkling
1980-01-01,1686
1980-02-01,1591
1980-03-01,2304
1980-04-01,1712
1980-05-01,1471
1980-06-01,1377
1980-07-01,1966
1980-08-01,2453
1980-09-01,1984
1980-10-01,2596
1980-11-01,4087
1980-12-01,5179
1981-01-01,1530
1981-02-01,1523
1981-03-01,1633
1981-04-01,1976
1981-05-01,1170
1981-06-01,1480
1981-07-01,1781
1981-08-01,2472
1981-09-01,1981
1981-10-01,2273
1981-11-01,3857
1981-12-01,4551
1982-01-01,1510
1982-02-01,1329
1982-03-01,1518
1982-04-01,1790
1982-05-01,1537
1982-06-01,1449
1982-07-01,1954
1982-08-01,1897
1982-09-01,1706
1982-10-01,2514
1982-11-01,3593
1982-12-01,4524
1983-01-01,1609
1983-02-01,1638
1983-03-01,2030
1983-04-01,1375
1983-05-01,1320
1983-06-01,1245
1983-07-01,1600
1983-08-01,2298
1983-09-01,2191
1983-10-01,2511
1983-11-01,3440
1983-12-01,4923
1984-01-01,1609
1984-02-01,1435
1984-03-01,2061
1984-04-01,1789
1984-05-01,1567
1984-06-01,1404
1984-07-01,1597
1984-08-01,3159
1984-09-01,1759
1984-10-01,2504
1984-11-01,4273
1984-12-01,5274
1985-01-01,1771
1985-02-01,1682
1985-03-01,1846
1985-04-01,1589
1985-05-01,1896
1985-06-01,1379
1985-07-01,1645
1985-08-01,2512
1985-09-01,1771
1985-10-01,3727
1985-11-01,4388
1985-12-01,5434
1986-01-01,1606
1986-02-01,1523
1986-03-01,1577
1986-04-01,1605
1986-05-01,1765
1986-06-01,1403
1986-07-01,2584
1986-08-01,3318
1986-09-01,1562
1986-10-01,2349
1986-11-01,3987
1986-12-01,5891
1987-01-01,1389
1987-02-01,1442
1987-03-01,1548
1987-04-01,1935
1987-05-01,1518
1987-06-01,1250
1987-07-01,1847
1987-08-01,1930
1987-09-01,2638
1987-10-01,3114
1987-11-01,4405
1987-12-01,7242
1988-01-01,1853
1988-02-01,1779
1988-03-01,2108
1988-04-01,2336
1988-05-01,1728
1988-06-01,1661
1988-07-01,2230
1988-08-01,1645
1988-09-01,2421
1988-10-01,3740
1988-11-01,4988
1988-12-01,6757
1989-01-01,1757
1989-02-01,1394
1989-03-01,1982
1989-04-01,1650
1989-05-01,1654
1989-06-01,1406
1989-07-01,1971
1989-08-01,1968
1989-09-01,2608
1989-10-01,3845
1989-11-01,4514
1989-12-01,6694
1990-01-01,1720
1990-02-01,1321
1990-03-01,1859
1990-04-01,1628
1990-05-01,1615
1990-06-01,1457
1990-07-01,1899
1990-08-01,1605
1990-09-01,2424
1990-10-01,3116
1990-11-01,4286
1990-12-01,6047
